Avengers: Endgame,8.5,181 min,Anthony Russo,"96,368,160",(2019)
Spirited Away,8.6,125 min,Hayao Miyazaki,"433,033,071",(2001)
Porco Rosso,7.8,94 min,Hayao Miyazaki,"32,774,834",(1992)
The Cat Returns,7.3,75 min,Hiroyuki Morita,"27,331,977",(2002)
Drunken Tai Chi,6.5,91 min,Woo-Ping Yuen,"297,195",(1984)
John Wick: Chapter 3 - Parabellum,7.5,131 min,Chad Stahelski,"135,371,627",(2019)
Pokémon Detective Pikachu,6.6,104 min,Rob Letterman,"22,467,450",(2019)
Aladdin,7,128 min,Guy Ritchie,"5,100,000",(I) (2019)
Aladdin,8,90 min,Ron Clements,"85,817,906",(1992)
Chopped,7.5,60 min,Ted Allen,"83,400,000",(2007– )
Cutthroat Kitchen,7.2,60 min,Alton Brown,"119,500,000",(2013– )
Godzilla: King of the Monsters,6.1,132 min,Michael Dougherty,"16,667,084",(2019)
Rocketman,7.4,121 min,Dexter Fletcher,"216,428,042",(I) (2019)
Toy Story 4,7.9,100 min,Josh Cooley,"192,728,787",(2019)
One Punch Man,8.8,24 min,Makoto Furukawa,"86,300,000",(2015– )
Team America: World Police,7.2,98 min,Trey Parker,"34,251,525",(2004)
Midsommar,7.2,147 min,Ari Aster,"177,200,000",(I) (2019)
Ask Dr. Ruth,7.6,100 min,Ryan White,"2,625,803",(2019)
House,7.4,88 min,Nobuhiko Ôbayashi,"260,044,825",(1977)
Once Upon a Time... in Hollywood,7.7,161 min,Quentin Tarantino,"285,761,243",(2019)
The Great Dictator,8.4,125 min,Charles Chaplin,"85,710,210",(1940)
